herb,frequency,degree,weighted_degree,degree_centrality,betweenness_centrality,eigenvector_centrality
砂仁,8,42,65,0.11602209944751381,0.0034289967907878004,0.028675572719902915
秦艽,4,48,64,0.13259668508287292,0.0050976483379680275,0.015982223556475793
香附,8,47,63,0.1298342541436464,0.009194312424139588,0.019942550539173015
赤芍,6,40,63,0.11049723756906077,0.0033497280330012148,0.022853863756441
杜仲,4,51,62,0.1408839779005525,0.006306659220516388,0.012018216537880376
葛根,8,33,61,0.09116022099447513,0.0011704685112833575,0.035154002262370074
天花粉,7,39,61,0.10773480662983426,0.0027589707552514494,0.023418146249391893
土鳖虫,4,31,61,0.0856353591160221,0.0006463067609139707,0.016248926390531757
吴茱萸,11,40,60,0.11049723756906077,0.005024502684995832,0.027300781670500672
菟丝子,6,48,60,0.13259668508287292,0.00774270667150869,0.01145818260627554
胆南星,5,45,59,0.12430939226519336,0.002356671356122373,0.01633069828455417
木通,7,44,58,0.12154696132596685,0.006149802801227706,0.015616639897289952
骨碎补,7,41,58,0.11325966850828728,0.003781047979566432,0.026143958854826663
五灵脂,6,47,56,0.1298342541436464,0.008118760316816746,0.008030762486987527
连翘,5,34,56,0.09392265193370165,0.0018250799070018617,0.019652200969968316
补骨脂,4,51,55,0.1408839779005525,0.009655349000939928,0.00657409593108076
广藿香,6,38,54,0.10497237569060773,0.0026670242172705185,0.02456170262278338
川贝母,7,34,53,0.09392265193370165,0.002822558140951188,0.01880254361637247
石菖蒲,7,29,52,0.08011049723756905,0.0020354313594221954,0.01642015165054098
射干,3,29,52,0.08011049723756905,0.0005354665606159351,0.014829122249016722
全蝎,5,42,51,0.11602209944751381,0.008572572994528082,0.00804543799166854
葶苈子,5,27,51,0.07458563535911603,0.0003303199650660693,0.013475836758699247
续断,3,47,51,0.1298342541436464,0.00515941371872566,0.009293141702051646
鳖甲,3,29,51,0.08011049723756905,0.0008150214185495547,0.013553732905075506
前胡,5,30,50,0.08287292817679558,0.00123509490925449,0.02467791728477717
菊花,3,43,50,0.11878453038674033,0.00309909148261378,0.013892779949535925
川楝子,7,36,49,0.09944751381215469,0.005176982901359922,0.003964835397991035
川乌,5,38,49,0.10497237569060773,0.0033265971530056933,0.008101127128598937
龙骨,8,30,48,0.08287292817679558,0.0042132846375334465,0.01924312396935226
犀角,3,43,47,0.11878453038674033,0.011346542169192434,0.007663114446388731
朱砂,7,36,46,0.09944751381215469,0.009559238109971625,0.006167931541531159
金银花,6,21,46,0.058011049723756904,0.021922149209763417,0.014331757045933322
猪苓,5,33,46,0.09116022099447513,0.002465269407733836,0.016848575252438595
麦芽,5,32,46,0.08839779005524862,0.002213991168678073,0.016251710424225903
蝉蜕,4,38,46,0.10497237569060773,0.0027431246305442167,0.01271045997725125
牡蛎,9,28,45,0.07734806629834254,0.007957455330296211,0.019714096035172265
桑白皮,8,24,44,0.06629834254143646,0.0005020825509098485,0.019045688010034336
花椒,6,37,44,0.1022099447513812,0.004402094974807505,0.011748734702457292
牛蒡子,4,33,44,0.09116022099447513,0.0022081394009078967,0.014401657630525732
天麻,3,39,44,0.10773480662983426,0.001965599439188653,0.008496763070494502
凌霄花,2,22,44,0.06077348066298342,0.0,0.011616188611232502
瞿麦,2,22,44,0.06077348066298342,0.0,0.011616188611232502
石韦,2,22,44,0.06077348066298342,0.0,0.011616188611232502
蜂房,2,22,44,0.06077348066298342,0.0,0.011616188611232502
蜣螂,2,22,44,0.06077348066298342,0.0,0.011616188611232502
赤硝,2,22,44,0.06077348066298342,0.0,0.011616188611232502
鼠妇,2,22,44,0.06077348066298342,0.0,0.011616188611232502
虎胫骨,2,40,42,0.11049723756906077,0.0018949485219564193,0.006769003238783258
柏子仁,4,34,41,0.09392265193370165,0.0019527191657034155,0.012201856915073361
防己,7,29,40,0.08011049723756905,0.005352406491548609,0.021051493819233217
穿山甲,4,22,40,0.06077348066298342,0.0009158881825211727,0.015196319155431712
白僵蚕,3,38,40,0.10497237569060773,0.004803652629262792,0.0051829018301501805
白扁豆,4,26,39,0.0718232044198895,0.0005059650110556499,0.014136598939765778
地骨皮,4,34,37,0.09392265193370165,0.005851438358402899,0.012672827637386377
草乌,2,34,37,0.09392265193370165,0.0005475933509103682,0.004292291219960294
车前子,4,30,36,0.08287292817679558,0.0017406789270167555,0.011065749876730188
天冬,2,31,36,0.0856353591160221,0.0011186393119441914,0.009843731315874842
赤石脂,6,31,35,0.0856353591160221,0.004249495752317757,0.006380618671929619
延胡索,6,29,35,0.08011049723756905,0.0029280426002123087,0.005767883672042379
酸枣仁,4,25,35,0.06906077348066297,0.0011598942572605708,0.01575972652536873
自然铜,2,35,35,0.09668508287292818,0.0019263654631753806,0.005894223702915609
萆薢,2,35,35,0.09668508287292818,0.00316377080445113,0.004197009563237925
丁香,4,30,34,0.08287292817679558,0.0038238225397586615,0.00421633130084265
粳米,8,13,33,0.03591160220994475,0.00012243944798053622,0.02352469911024523
大皂角,5,20,33,0.055248618784530384,0.006062222918551955,0.009650681456525909
枸杞子,3,31,33,0.0856353591160221,0.003293743209107959,0.00853883436548652
龟甲,6,23,32,0.06353591160220995,0.0015727538227153892,0.008323529508233356
紫苏子,5,17,32,0.04696132596685083,0.0021644317631735227,0.014916314666752856
羚羊角,2,29,32,0.08011049723756905,0.0010377516195855464,0.009574765525732146
乌梢蛇,1,32,32,0.08839779005524862,0.00025056515919772934,0.004135916696241333
木鳖子,1,32,32,0.08839779005524862,0.00025056515919772934,0.004135916696241333
冰片,3,24,31,0.06629834254143646,0.0018443381677712089,0.001399843379725
党参,4,24,30,0.06629834254143646,0.0018217475735054002,0.014573308611162138
茯苓皮,4,23,29,0.06353591160220995,0.0012912399004431905,0.007340338655497247
瓜蒌子,7,18,28,0.049723756906077346,0.001270187886383646,0.009466740922097148
莪术,4,23,28,0.06353591160220995,0.0015741395629209353,0.004135338096257838
郁李仁,4,21,28,0.058011049723756904,0.00033107593684338077,0.004803946174628714
大腹皮,4,21,28,0.058011049723756904,0.0015689383489652367,0.009459937307696733
半夏曲,3,21,28,0.058011049723756904,0.0006858663426398618,0.015172793588291624
竹茹,4,19,27,0.052486187845303865,0.0006802512746665267,0.015317225578394343
小茴香,4,18,27,0.049723756906077346,0.0005375805006821232,0.001977009545053981
