formula_id,formula_name,herbs,herb_count,book_title,chapter_title
115,泻青丸,"['大黄', '川芎', '当归', '栀子', '羌活', '防风', '龙胆']",7,删补名医方论,卷（四）
116,当归龙荟丸,"['大黄', '当归', '木香', '栀子', '芦荟', '青黛', '麝香', '黄柏', '黄芩', '黄连', '龙胆']",11,医方论,泻火之剂
117,左金丸,"['吴茱萸', '黄连']",2,汤头歌诀,左金
118,香连丸,"['吴茱萸', '木香', '黄连']",3,时方歌括,香连丸
119,戊己丸,"['吴茱萸', '白芍', '黄连']",3,医方考,泄泻门第十二
120,桔梗汤,"['桔梗', '甘草']",2,经方一百首,002、桔梗汤
121,芍药汤,"['大黄', '当归', '木香', '槟榔', '甘草', '肉桂', '芍药', '黄芩', '黄连']",9,时方歌括,芍药汤
122,黄芩汤,"['大枣', '甘草', '芍药', '黄芩']",4,经方一百首,057、黄芩汤
123,黄芩加半夏生姜汤,"['半夏', '大枣', '甘草', '生姜', '芍药', '黄芩']",6,金匮要略浅注,呕吐哕下利病脉证治第十七
124,葛根黄芩黄连汤,"['甘草', '葛根', '黄芩', '黄连']",4,经方杂谈,16葛根芩连汤
125,玉女煎,"['熟地', '牛膝', '知母', '石膏', '麦冬']",5,退思集类方歌注,白虎汤类
126,白头翁汤,"['白头翁', '秦皮', '黄柏', '黄连']",4,伤寒论类方,白头翁汤（十八）
127,葶苈大枣泻肺汤,"['大枣', '葶苈子']",2,金匮要略浅注,肺痿肺痈咳嗽上气病脉证治第七
128,清胃散,"['升麻', '当归', '牡丹皮', '生地', '黄连']",5,医方论,泻火之剂
129,泻黄散,"['广藿香', '栀子', '甘草', '石膏', '防风']",5,世医得效方,脾胃
130,白头翁加甘草阿胶汤,"['甘草', '白头翁', '秦皮', '阿胶', '黄柏', '黄连']",6,高注金匮要略,妇人产后病脉证治第二十一
131,防风通圣散,"['大黄', '川芎', '当归', '栀子', '桔梗', '滑石', '甘草', '白术', '石膏', '芒硝', '荆芥', '薄荷', '赤芍', '连翘', '防风', '麻黄', '黄芩']",17,河间伤寒心要,【寒】第一双解散
132,苇茎汤,"['冬瓜仁', '桃仁', '芦根', '薏苡仁']",4,金匮要略心典,肺痿肺痈咳嗽上气病脉证治第七
133,泻白散,"['地骨皮', '桑白皮', '甘草']",3,时方歌括,泻白散
134,柴胡桂枝干姜汤,"['天花粉', '干姜', '柴胡', '桂枝', '牡蛎', '甘草', '黄芩']",7,经方杂谈,36柴胡桂枝干姜汤
